carrierId	nuOfJspritIterations	fleetSize	nuOfPossibleVehicleTypes	nuOfPossibleVehicles	nuOfServiceLocations_planned	nuOfPickupLocations_planned	nuOfDeliveryLocations_planned	jobType	nuOfJobs_planned	demandSize_planned
Carrier Fennpfuhl1	100	INFINITE	1	1	0	57	1	shipments	57	24991
Carrier Fennpfuhl2	100	INFINITE	1	1	0	65	1	shipments	65	28534
Carrier Fennpfuhl3	100	INFINITE	1	1	0	58	1	shipments	58	26745
Carrier Friedrichshain1	100	INFINITE	1	1	0	498	1	shipments	498	166216
Carrier Friedrichshain2	100	INFINITE	1	1	0	261	1	shipments	261	87255
Carrier Friedrichshain3	100	INFINITE	1	1	0	251	1	shipments	251	64669
Carrier Gesundbrunnen1	100	INFINITE	1	1	0	233	1	shipments	233	64711
Carrier Gesundbrunnen2	100	INFINITE	1	1	0	210	1	shipments	210	65235
Carrier Gesundbrunnen3	100	INFINITE	1	1	0	121	1	shipments	121	39954
Carrier Halensee1	100	INFINITE	1	1	0	24	1	shipments	24	11183
Carrier Halensee2	100	INFINITE	1	1	0	22	1	shipments	22	11125
Carrier Halensee3	100	INFINITE	1	1	0	32	1	shipments	32	14612
Carrier Haselhorst1	100	INFINITE	1	1	0	98	1	shipments	98	10386
Carrier Haselhorst2	100	INFINITE	1	1	0	39	1	shipments	39	6868
Carrier Haselhorst3	100	INFINITE	1	1	0	137	1	shipments	137	20096
Carrier Hellersdorf1	100	INFINITE	1	1	0	347	1	shipments	347	105397
Carrier Hellersdorf2	100	INFINITE	1	1	0	190	1	shipments	190	54050
Carrier Hellersdorf3	100	INFINITE	1	1	0	107	1	shipments	107	34483
Carrier Karlshorst1	100	INFINITE	1	1	0	189	1	shipments	189	26552
Carrier Karlshorst2	100	INFINITE	1	1	0	97	1	shipments	97	12565
Carrier Karlshorst3	100	INFINITE	1	1	0	204	1	shipments	204	25923
Carrier Lichtenberg1	100	INFINITE	1	1	0	161	1	shipments	161	38144
Carrier Lichtenberg2	100	INFINITE	1	1	0	70	1	shipments	70	19955
Carrier Lichtenberg3	100	INFINITE	1	1	0	158	1	shipments	158	39161
Carrier Maerkisches Viertel1	100	INFINITE	1	1	0	16	1	shipments	16	13652
Carrier Maerkisches Viertel2	100	INFINITE	1	1	0	67	1	shipments	67	34887
Carrier Maerkisches Viertel3	100	INFINITE	1	1	0	51	1	shipments	51	22661
Carrier Moabit1	100	INFINITE	1	1	0	238	1	shipments	238	62446
Carrier Moabit2	100	INFINITE	1	1	0	361	1	shipments	361	91105
Carrier Moabit3	100	INFINITE	1	1	0	151	1	shipments	151	35759
Carrier Neu-Hohenschoenhausen1	100	INFINITE	1	1	0	87	1	shipments	87	31718
Carrier Neu-Hohenschoenhausen2	100	INFINITE	1	1	0	74	1	shipments	74	42853
Carrier Neu-Hohenschoenhausen3	100	INFINITE	1	1	0	129	1	shipments	129	59859
Carrier Neukoelln1	100	INFINITE	1	1	0	404	1	shipments	404	139711
Carrier Neukoelln2	100	INFINITE	1	1	0	309	1	shipments	309	99763
Carrier Neukoelln3	100	INFINITE	1	1	0	489	1	shipments	489	157856
Carrier Pankow1	100	INFINITE	1	1	0	121	1	shipments	121	33303
Carrier Pankow2	100	INFINITE	1	1	0	220	1	shipments	220	50621
Carrier Pankow3	100	INFINITE	1	1	0	285	1	shipments	285	68056
Carrier Schmargendorf1	100	INFINITE	1	1	0	84	1	shipments	84	13792
Carrier Schmargendorf2	100	INFINITE	1	1	0	106	1	shipments	106	15838
Carrier Schmargendorf3	100	INFINITE	1	1	0	161	1	shipments	161	22910
Carrier Schoeneberg1	100	INFINITE	1	1	0	340	1	shipments	340	70524
Carrier Schoeneberg2	100	INFINITE	1	1	0	305	1	shipments	305	85524
Carrier Schoeneberg3	100	INFINITE	1	1	0	616	1	shipments	616	137832
Carrier Staaken1	100	INFINITE	1	1	0	234	1	shipments	234	46134
Carrier Staaken2	100	INFINITE	1	1	0	161	1	shipments	161	28405
Carrier Staaken3	100	INFINITE	1	1	0	205	1	shipments	205	34921
Carrier Steglitz1	100	INFINITE	1	1	0	75	1	shipments	75	18196
Carrier Steglitz2	100	INFINITE	1	1	0	565	1	shipments	565	106713
Carrier Steglitz3	100	INFINITE	1	1	0	251	1	shipments	251	54241
Carrier Wedding1	100	INFINITE	1	1	0	25	1	shipments	25	13566
Carrier Wedding2	100	INFINITE	1	1	0	472	1	shipments	472	106132
Carrier Wedding3	100	INFINITE	1	1	0	296	1	shipments	296	87062
Carrier Wilhelmstadt1	100	INFINITE	1	1	0	131	1	shipments	131	25192
Carrier Wilhelmstadt2	100	INFINITE	1	1	0	186	1	shipments	186	42531
Carrier Wilhelmstadt3	100	INFINITE	1	1	0	164	1	shipments	164	28887
Carrier Wilmersdorf1	100	INFINITE	1	1	0	357	1	shipments	357	83349
Carrier Wilmersdorf2	100	INFINITE	1	1	0	388	1	shipments	388	80894
Carrier Wilmersdorf3	100	INFINITE	1	1	0	360	1	shipments	360	77797
